zipcode,season,season_median
98001,fall,249950.0
98001,spring,262000.0
98001,summer,263000.0
98001,winter,260000.0
98002,fall,235000.0
98002,spring,235000.0
98002,summer,230000.0
98002,winter,238000.0
98003,fall,255000.0
98003,spring,277500.0
98003,summer,278000.0
98003,winter,266500.0
98004,fall,980000.0
98004,spring,1209000.0
98004,summer,1149000.0
98004,winter,1200000.0
98005,fall,813000.0
98005,spring,776225.0
98005,summer,740000.0
98005,winter,747500.0
98006,fall,752152.5
98006,spring,755000.0
98006,summer,771500.0
98006,winter,799520.5
98007,fall,525000.0
98007,spring,580000.0
98007,summer,615000.0
98007,winter,585340.0
98008,fall,538000.0
98008,spring,545000.0
98008,summer,546800.0
98008,winter,545000.0
98010,fall,440000.0
98010,spring,376750.0
98010,summer,360000.0
98010,winter,338500.0
98011,fall,455000.0
98011,spring,480000.0
98011,summer,452500.0
98011,winter,502600.0
98014,fall,399950.0
98014,spring,422925.0
98014,summer,455500.0
98014,winter,368000.0
98019,fall,445000.0
98019,spring,396000.0
98019,summer,400000.0
98019,winter,406250.0
98022,fall,279000.0
98022,spring,278500.0
98022,summer,289000.0
98022,winter,280000.0
98023,fall,272000.0
98023,spring,280250.0
98023,summer,255000.0
98023,winter,268225.0
98024,fall,412500.0
98024,spring,486000.0
98024,summer,522000.0
98024,winter,495000.0
98027,fall,580250.0
98027,spring,573000.0
98027,summer,574950.0
98027,winter,525000.0
98028,fall,450000.0
98028,spring,446000.0
98028,summer,425000.0
98028,winter,446500.0
98029,fall,562400.0
98029,spring,611000.0
98029,summer,560000.0
98029,winter,612500.0
98030,fall,296975.0
98030,spring,293500.0
98030,summer,277500.0
98030,winter,275000.0
98031,fall,295000.0
98031,spring,291250.0
98031,summer,279950.0
98031,winter,285000.0
98032,fall,258000.0
98032,spring,260000.0
98032,summer,257600.0
98032,winter,240500.0
98033,fall,623500.0
98033,spring,680000.0
98033,summer,717312.5
98033,winter,676850.0
98034,fall,454500.0
98034,spring,460000.0
98034,summer,442536.5
98034,winter,433250.0
98038,fall,348745.0
98038,spring,349950.0
98038,summer,339994.5
98038,winter,336500.0
98039,fall,2475000.0
98039,spring,1800000.0
98039,summer,1950000.0
98039,winter,1865000.0
98040,fall,990000.0
98040,spring,1100000.0
98040,summer,925000.0
98040,winter,989900.0
98042,fall,279000.0
98042,spring,300500.0
98042,summer,300000.0
98042,winter,286950.0
98045,fall,385000.0
98045,spring,407250.0
98045,summer,418500.0
98045,winter,392000.0
98052,fall,589950.0
98052,spring,630000.0
98052,summer,625000.0
98052,winter,599750.0
98053,fall,597500.0
98053,spring,610000.0
98053,summer,699800.0
98053,winter,620000.0
98055,fall,271000.0
98055,spring,305000.0
98055,summer,291650.0
98055,winter,310000.0
98056,fall,350000.0
98056,spring,382500.0
98056,summer,391225.0
98056,winter,381500.0
98058,fall,325000.0
98058,spring,338225.0
98058,summer,335500.0
98058,winter,340000.0
